ID Donatur,recency,frequency,monetary,last_date,last_nominal,program,cara_bayar,monetary_log,cluster,churn,segmen,prob_churn,prediksi
DAD-00117,1429,2,100000.0,2022-02-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00118,516,13,2287000.0,2024-08-02,300000.0,Wakaf Qur'an,Transfer,14.642751910258868,1,1,Berpotensi Churn,0.98886734,1
DAD-00119,1429,2,100000.0,2022-02-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00120,1429,2,100000.0,2022-02-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00121,1429,2,100000.0,2022-02-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00122,1401,4,240000.0,2022-03-01,70000.0,Wakaf Qur'an,Transfer,12.388398368982115,2,0,Tidak Churn,1.9113281e-06,0
DAD-00123,1429,2,200000.0,2022-02-01,100000.0,Sedekah Panti,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00124,1429,2,200000.0,2022-02-01,100000.0,Sedekah Panti,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00125,1429,2,100000.0,2022-02-01,50000.0,Sedekah Panti,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00126,1429,2,200000.0,2022-02-01,100000.0,Sedekah Panti,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00127,1429,2,100000.0,2022-02-01,50000.0,Sedekah Panti,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00128,1429,2,400000.0,2022-02-01,200000.0,Sedekah Panti,Transfer,12.899222326086994,2,0,Tidak Churn,2.1780324e-06,0
DAD-00129,1279,6,600000.0,2022-07-01,50000.0,Bantuan Alkes,Transfer,13.304686600863562,2,0,Tidak Churn,1.1742188e-06,0
DAD-00130,1429,2,100000.0,2022-02-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00131,1401,2,200000.0,2022-03-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00132,1401,2,100000.0,2022-03-01,50000.0,Becare Food,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00133,32,57,3600000.0,2025-11-29,150000.0,Pulihkan Duka Negeri Palestina,Transfer,15.096444681204078,0,0,Tidak Churn,0.0002543312,0
DAD-00134,16,14,1200000.0,2025-12-15,50000.0,Wakaf Movement,Transfer,13.997832948091215,1,1,Berpotensi Churn,0.99875546,1
DAD-00135,1370,6,100000.0,2022-04-01,10000.0,Becare Food,Transfer,11.51293546492023,2,0,Tidak Churn,4.1891562e-06,0
DAD-00136,1055,12,750000.0,2023-02-10,100000.0,Becare Food,Transfer,13.527829818844937,2,0,Tidak Churn,1.575036e-06,0
DAD-00137,1279,4,240000.0,2022-07-01,70000.0,Becare Food,Transfer,12.388398368982115,2,0,Tidak Churn,1.9113281e-06,0
DAD-00138,1401,2,200000.0,2022-03-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00139,1401,2,200000.0,2022-03-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00140,1401,2,600000.0,2022-03-01,300000.0,Becare Food,Transfer,13.304686600863562,2,0,Tidak Churn,1.7610333e-06,0
DAD-00141,593,9,1350000.0,2024-05-17,100000.0,Becare Food,Transfer,14.115615891155079,2,0,Tidak Churn,0.016065205,0
DAD-00142,1049,5,750000.0,2023-02-16,150000.0,Becare Food,Transfer,13.527829818844937,2,0,Tidak Churn,1.7798455e-06,0
DAD-00143,26,56,10925002.0,2025-12-05,150000.0,Zakat Movement,Transfer,16.206564573545432,0,0,Tidak Churn,0.0002543312,0
DAD-00144,1340,6,300000.0,2022-05-01,50000.0,Becare Food,Transfer,12.611541086966115,2,0,Tidak Churn,1.5301658e-06,0
DAD-00145,1279,4,140000.0,2022-07-01,20000.0,Becare Food,Transfer,11.849404844423074,2,0,Tidak Churn,2.8927207e-06,0
DAD-00146,1370,4,400000.0,2022-04-01,100000.0,Becare Food,Transfer,12.899222326086994,2,0,Tidak Churn,1.6122992e-06,0
DAD-00147,299,7,140000.0,2025-03-07,20000.0,Becare Food,Transfer,11.849404844423074,1,1,Berpotensi Churn,0.9999931,1
DAD-00148,1370,4,140000.0,2022-04-01,20000.0,Becare Food,Transfer,11.849404844423074,2,0,Tidak Churn,2.8927207e-06,0
DAD-00149,467,10,1070000.0,2024-09-20,200000.0,Becare Food,Transfer,13.883170141017091,1,1,Berpotensi Churn,0.9999567,1
DAD-00150,26,6,260000.0,2025-12-05,50000.0,Becare Food,Transfer,12.468440756144114,1,1,Berpotensi Churn,0.99993765,1
DAD-00151,1401,2,40000.0,2022-03-01,20000.0,Becare Food,Transfer,10.596659732783579,2,0,Tidak Churn,0.00051167863,0
DAD-00152,1401,2,600000.0,2022-03-01,300000.0,Becare Food,Transfer,13.304686600863562,2,0,Tidak Churn,1.7610333e-06,0
DAD-00153,1279,4,400000.0,2022-07-01,100000.0,Becare Food,Transfer,12.899222326086994,2,0,Tidak Churn,1.6122992e-06,0
DAD-00154,813,4,550000.0,2023-10-10,200000.0,Becare Food,Transfer,13.217675375388819,2,0,Tidak Churn,1.3036134e-06,0
DAD-00156,1401,2,400000.0,2022-03-01,200000.0,Becare Food,Transfer,12.899222326086994,2,0,Tidak Churn,2.1780324e-06,0
DAD-00157,964,3,270000.0,2023-05-12,150000.0,Becare Food,Transfer,12.506180941677357,2,0,Tidak Churn,1.5409865e-06,0
DAD-00158,1401,4,120000.0,2022-03-01,20000.0,Becare Food,Transfer,11.695255355062795,2,0,Tidak Churn,3.9949473e-06,0
DAD-00159,1401,2,200000.0,2022-03-01,100000.0,Becare Food,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
